titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Les 7 Mercenaires,27.0,4122.0,2.9,3.8
Star Trek Sans limites,28.0,4661.0,3.3,3.7
Deepwater,19.0,2745.0,3.3,3.9
Du Jour au Lendemain,23.0,1670.0,3.1,1.9
La Mécanique de l'ombre,21.0,991.0,3.2,3.3
Le Jour d'après,19.0,197.0,4.1,3.4
Star Wars - Le Réveil de la Force,39.0,30958.0,4.0,3.7
Forrest Gump,5.0,75427.0,2.6,4.6
Irréprochable,24.0,1323.0,3.7,3.4
The Dark Knight- Le Chevalier Noir,21.0,67653.0,4.0,4.5
La Ligne verte,25.0,69760.0,2.8,4.6
Ma Loute,25.0,2074.0,4.1,2.3
Nos Patriotes,17.0,222.0,2.9,3.4
Blade Runner,5.0,19719.0,3.8,4.2
Les Minions,23.0,7776.0,3.7,3.4
War Machine,4.0,362.0,2.8,2.6
Elle,37.0,4251.0,4.3,3.4
La Folle Histoire de Max et Léon,17.0,5294.0,3.2,3.8
Les Tontons flingueurs,5.0,12472.0,3.8,4.2
Nerve,17.0,4800.0,3.1,3.8
Saw,19.0,28338.0,3.5,3.6
Bienvenue à Marly-Gomont,10.0,2002.0,3.2,3.9
Débarquement immédiat,8.0,1257.0,2.4,2.5
Stalker,6.0,948.0,4.8,4.0
Annabelle,14.0,4124.0,2.1,2.2
Titanic,8.0,63206.0,4.9,4.3
Mommy,33.0,10946.0,4.3,4.5
13 Hours,20.0,1897.0,3.0,3.9
Captain America: Civil War,28.0,11833.0,3.2,4.0
Qu'est-ce qu'on a fait au Bon Dieu?,8.0,27035.0,3.8,3.8
Colonia,16.0,2290.0,2.9,4.3
The Strangers,24.0,1474.0,4.1,3.9
Fast & Furious 7,17.0,10166.0,3.6,4.1
Inferno,22.0,3118.0,2.2,2.9
Underworld - Blood Wars,10.0,1473.0,1.5,2.9
Le Fils de Jean,25.0,1363.0,3.5,4.1
Mademoiselle,36.0,2228.0,3.8,4.3
Alice n'est plus ici,2.0,334.0,5.0,3.7
Sausage Party,20.0,2497.0,3.5,2.6
Landes,11.0,269.0,3.3,3.0
Radin!,20.0,3724.0,2.8,2.5
Whiplash,30.0,12052.0,4.1,4.5
Babysitting,16.0,12741.0,3.2,4.0
Moi- moche et méchant,23.0,12758.0,3.3,4.0
La Ligne rouge,20.0,10287.0,4.3,4.0
Lego Batman- Le Film,17.0,1456.0,2.6,3.5
La Planète des singes : les origines,20.0,27167.0,3.3,4.1
Les Trolls,15.0,1564.0,2.9,3.7
Mes vies de chien,4.0,683.0,2.8,4.0
The Amazing Spider-Man : le destin d'un Héros,23.0,16345.0,3.0,3.7
Elvis & Nixon,22.0,604.0,3.4,3.1
Zootopie,28.0,12243.0,4.0,4.4
Personal Shopper,31.0,858.0,3.1,2.5
Drive,27.0,33180.0,4.4,4.0
Limitless,21.0,13337.0,3.0,3.9
Good Morning England,18.0,18761.0,3.7,4.2
Point Break,4.0,2482.0,2.0,2.5
La Grande boucle,17.0,1069.0,2.4,3.1
Les Gardiens de la Galaxie,27.0,22037.0,3.8,4.2
Jeune & Jolie,27.0,4995.0,3.7,3.2
Conjuring 2 : Le Cas Enfield,21.0,4625.0,3.5,4.2
Toni Erdmann,32.0,1586.0,4.3,3.7
Dans le noir,18.0,2126.0,2.7,3.3
Victoria,38.0,3080.0,4.0,2.9
Eye in the Sky,6.0,392.0,3.0,3.6
Sherlock Holmes 2 : Jeu d'ombres,21.0,17335.0,3.1,4.0
The Amazing Spider-Man,25.0,23059.0,3.0,3.6
10 Cloverfield Lane,20.0,6033.0,3.5,3.6
A voix haute - La force de la parole,21.0,807.0,4.0,4.5
Brothers,23.0,8207.0,3.3,4.0
Insaisissables,16.0,23799.0,2.3,4.0
Gold,21.0,697.0,2.6,3.5
Le Fantôme De Canterville,6.0,699.0,2.8,2.1
Moi- moche et méchant 2,17.0,11564.0,3.6,4.2
Spider-Man,25.0,49689.0,4.2,3.9
The Dark Knight Rises,28.0,41872.0,3.6,4.3
Jason Bourne,33.0,4942.0,3.2,3.4
Jour J,14.0,1102.0,2.9,3.5
Du sang et des larmes,13.0,6395.0,2.9,4.3
Ils sont partout,23.0,793.0,2.2,1.9
Friend Request,7.0,598.0,2.4,2.6
The Boy,8.0,1627.0,3.1,2.9
The Wall,18.0,479.0,3.1,3.1
Ratchet et Clank,5.0,468.0,2.2,2.5
Shutter Island,31.0,49959.0,3.8,4.3
Imitation Game,32.0,13608.0,3.4,4.3
Insomnia,24.0,7848.0,4.0,3.5
La Vache,26.0,2284.0,3.3,4.0
American Hero,17.0,160.0,3.1,2.6
Moi- Daniel Blake,38.0,3100.0,3.9,4.3
Astérix et Obélix : Mission Cléopâtre,16.0,50604.0,3.8,4.0
The Neon Demon,29.0,2812.0,3.4,3.1
Kóblic,11.0,36.0,3.3,3.4
Twilight - Chapitre 1 : fascination,24.0,38140.0,3.1,3.0
Twilight - Chapitre 5 : Révélation 2e partie,18.0,12944.0,2.9,3.7
Le premier jour du reste de ta vie,17.0,11521.0,3.6,4.1
Divines,31.0,2647.0,3.6,4.2
Incassable,18.0,19838.0,3.4,3.5
Ma Famille t'adore déjà,3.0,1327.0,3.3,2.4
La Vie rêvée de Walter Mitty,24.0,10799.0,3.2,4.0
Papa ou maman 2,28.0,3006.0,3.3,3.7
La 5ème vague,13.0,4903.0,2.2,2.8
Harry Potter à l'école des sorciers,20.0,48472.0,3.7,4.1
I Am Not Your Negro,19.0,445.0,4.4,4.3
Sage Femme,25.0,949.0,3.6,3.4
The Witch,25.0,1722.0,3.9,2.2
Le Cinquième élément,5.0,50846.0,3.0,4.2
The Boyfriend - Pourquoi lui ?,7.0,1138.0,1.9,2.7
La Vie est belle,12.0,43731.0,3.5,4.4
Transformers,22.0,33413.0,2.5,3.3
Comancheria,28.0,2944.0,4.0,4.0
Django Unchained,33.0,50376.0,4.5,4.5
Les Pépites,19.0,930.0,3.3,4.7
Le Labyrinthe,22.0,18081.0,3.4,3.8
Impitoyable,5.0,9608.0,4.8,4.2
1:54,11.0,535.0,3.4,4.0
Divergente,19.0,17177.0,2.5,3.9
Jack Reacher : Never Go Back,23.0,3132.0,2.3,2.9
La Vie d'Adèle - Chapitres 1 et 2,30.0,9392.0,4.6,3.7
Conjuring : Les dossiers Warren,19.0,10938.0,3.3,4.2
Bastille Day,4.0,923.0,3.3,2.4
Hostel,20.0,8970.0,2.6,2.6
Les Fils de l'homme,25.0,16101.0,3.8,3.9
Bad Buzz,7.0,333.0,1.6,1.1
Spotlight,24.0,6614.0,4.0,4.2
Fury,20.0,9417.0,3.3,4.1
Seven,5.0,61939.0,3.6,4.4
Les Infiltrés,28.0,153711.0,4.0,3.9
Paterson,33.0,1611.0,4.1,3.5
Mechanic Résurrection,6.0,1750.0,2.8,2.6
Seul contre tous,16.0,1725.0,2.9,3.9
