titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Simone,26.0,2467.0,3.8,2.6
Sonita,15.0,75.0,3.5,3.9
Sophie Scholl les derniers jours,27.0,585.0,3.4,3.3
Soul Kitchen,24.0,1629.0,3.7,3.7
Steamboy,17.0,1679.0,3.8,3.5
Stigmata,16.0,1688.0,2.7,2.7
Tangerine,19.0,265.0,3.6,3.6
Terre champ de bataille,8.0,538.0,2.1,1.1
Terre de roses,11.0,18.0,3.8,3.2
The Music of Strangers,12.0,44.0,3.9,3.8
The Skulls- société secrète,13.0,1235.0,2.6,2.2
The Woodsman,22.0,381.0,3.4,2.8
Tokyo Fiancée,22.0,607.0,3.1,3.4
Tokyo Sonata,22.0,574.0,4.2,3.8
Tonnerre,24.0,505.0,3.5,3.3
Traqué,18.0,1188.0,3.4,2.4
Un amour infini,16.0,193.0,2.6,2.7
Un Château en Italie,24.0,714.0,3.3,2.4
Un jour avec- un jour sans,20.0,167.0,4.0,3.3
Un Prince (presque) charmant,4.0,875.0,2.5,2.5
Une Histoire de Fou,23.0,317.0,3.5,3.7
Vinyan,22.0,459.0,2.6,1.9
Week-end Royal,18.0,538.0,2.8,2.4
Xenia,21.0,405.0,3.3,3.8
20th Century Boys,11.0,448.0,2.9,3.1
A la poursuite du Roi Plumes,6.0,70.0,3.2,3.5
A la recherche de Vivian Maier,20.0,477.0,3.8,4.1
À tout de suite,31.0,145.0,4.6,3.0
A.C.A.B.: All Cops Are Bastards,19.0,414.0,3.0,3.6
Alex Cross,8.0,1052.0,1.3,1.9
All about Albert,21.0,414.0,3.2,3.3
Alléluia,14.0,206.0,3.5,2.8
Alyah,17.0,370.0,3.7,2.9
Amelia,12.0,169.0,1.8,2.3
American pie : marions-les !,9.0,9911.0,3.0,2.4
Angel Eyes,9.0,342.0,2.4,2.4
Anna M.,23.0,926.0,3.8,2.9
AO- le dernier Néandertal,17.0,483.0,2.4,2.5
Arrêtez-moi,16.0,606.0,2.1,2.7
Arthur et la vengeance de Maltazard,17.0,4240.0,3.1,1.6
Au bistro du coin,2.0,332.0,1.0,1.5
Bataille à Seattle,20.0,1094.0,2.8,3.3
Bébé Tigre,21.0,219.0,3.8,3.4
Bienvenue Parmi Nous,6.0,513.0,1.3,3.1
Braquages,14.0,244.0,3.1,2.9
Breathless,20.0,350.0,4.1,4.1
C'est pas ma faute !,4.0,227.0,3.0,2.5
Camille Claudel- 1915,22.0,521.0,4.3,2.9
Capitaine Orgazmo,4.0,813.0,2.5,2.6
Casablanca Driver,14.0,1003.0,3.1,2.5
Ce que je sais d'elle... d'un simple regard,21.0,234.0,3.4,3.0
Cinq enfants et moi,12.0,220.0,3.1,2.7
Compte à rebours mortel,9.0,555.0,2.0,2.2
Dance Movie,7.0,249.0,1.3,2.2
De guerre lasse,14.0,389.0,3.5,2.5
De l'influence des rayons gamma sur le comportement des marguerites,4.0,228.0,5.0,4.1
Dead or Alive,10.0,1759.0,1.9,1.8
Des saumons dans le désert,17.0,878.0,2.2,2.8
Diamond Island,24.0,263.0,3.8,3.6
Easy Money,20.0,580.0,3.4,2.9
Ecarts de conduite,9.0,163.0,2.8,3.3
Eldorado,25.0,988.0,4.0,3.2
Elève libre,17.0,252.0,3.3,2.6
En secret,16.0,330.0,2.9,3.4
Encore un baiser,11.0,176.0,2.6,3.7
Flic de haut vol,7.0,726.0,2.7,2.5
Fronteras,11.0,92.0,2.9,3.5
Fucking Åmål,16.0,484.0,3.8,3.4
Furtif,14.0,2763.0,2.3,1.9
Galaxy Quest,18.0,1346.0,3.6,3.3
Grace,1.0,216.0,3.0,2.1
Hellphone,21.0,2463.0,2.7,1.8
Hipótesis,14.0,160.0,2.6,2.9
Horus- prince du soleil,17.0,218.0,3.6,3.1
Huit et demi,5.0,778.0,3.2,3.9
Il était une fois en Chine,2.0,986.0,4.5,3.6
Import/Export,14.0,59.0,3.1,3.1
Indésirables,11.0,41.0,2.7,3.2
Interstella 5555,2.0,1618.0,3.5,3.9
Jamais sans toi,6.0,196.0,1.8,3.1
Jeunesse,28.0,43.0,3.1,2.6
Kaena- la prophétie,8.0,898.0,3.3,2.5
Kill Me Please,16.0,262.0,2.4,2.8
Killing Fields,12.0,1002.0,2.6,2.5
L'Enlèvement,21.0,275.0,3.3,2.0
L'Inconnu du Nord-Express,8.0,1404.0,4.8,4.0
L'Oeuvre de Dieu- la part du diable,18.0,241.0,3.2,3.3
L'Olivier,13.0,94.0,3.2,3.8
La Cour de Babel,23.0,820.0,4.2,4.0
La Famille Jones,19.0,1390.0,2.7,3.0
La Fièvre dans le sang,3.0,536.0,5.0,4.0
La Main au collet,2.0,1433.0,5.0,3.7
La Malédiction de Molly Hartley,1.0,124.0,2.0,2.1
La Personne aux deux personnes,24.0,2119.0,3.0,2.2
La Voix des morts,17.0,1568.0,2.5,2.1
Le Caméléon,23.0,480.0,2.7,2.4
Le Cur battant,10.0,28.0,3.6,2.9
Le dernier coup de marteau,23.0,468.0,3.6,3.4
Le dernier vol,18.0,835.0,2.1,1.7
Le Libertin,15.0,349.0,2.3,2.3
Le Prince du Pacifique,18.0,725.0,2.8,1.6
Le Prix du pardon,13.0,3.0,3.4,3.0
Le Procès,1.0,764.0,5.0,3.7
Le Professeur de Violon,18.0,204.0,3.3,4.0
Le Quai des brumes,1.0,1125.0,2.0,3.9
Le Smoking,10.0,1941.0,2.9,1.8
Le Voleur,4.0,107.0,5.0,3.6
Les Adoptés,21.0,1718.0,2.9,3.7
Les derniers jours du monde,22.0,1047.0,3.5,2.3
Les Enfants invisibles,7.0,48.0,3.0,3.5
Les Rois du monde,14.0,115.0,2.1,2.5
Les Salauds,15.0,503.0,2.9,1.7
Les Vikings,1.0,730.0,4.0,3.6
Leviathan,16.0,77.0,3.6,3.1
Love & Game,2.0,230.0,2.5,3.5
Love is all you need,15.0,314.0,2.9,3.2
Mariage à la grecque,19.0,1086.0,3.1,2.1
Mauvais piège,5.0,487.0,3.0,2.3
Mimzy le messager du futur,8.0,392.0,1.9,2.3
Noma au Japon : (Ré)inventer le meilleur restaurant du monde,20.0,26.0,3.3,3.2
Nothing but the Truth,4.0,5.0,3.0,2.8
Notre paradis,9.0,186.0,2.4,2.8
Nous étions libres,13.0,269.0,2.5,3.2
Oh Boy,18.0,571.0,3.2,3.7
Ordinary Decent Criminal,14.0,1102.0,2.6,3.1
Parkland,17.0,646.0,3.1,3.1
Pasolini,21.0,227.0,3.5,2.6
Paula,18.0,64.0,2.8,3.3
Père et fils,9.0,1273.0,3.6,2.9
Photo obsession,20.0,2588.0,3.4,3.0
Pola X,18.0,121.0,2.9,2.8
Polissons et galipettes,12.0,14.0,3.0,3.1
Promenons-nous dans les bois,10.0,975.0,2.6,1.1
Querelle,1.0,155.0,4.0,3.5
Ricky,26.0,1226.0,3.7,2.1
Rio- ligne 174,14.0,106.0,3.1,3.9
Shaft,23.0,1999.0,3.1,2.4
Shine a Light,21.0,1047.0,3.8,3.6
Sound Of Noise,16.0,723.0,2.9,4.0
Souris City,23.0,2460.0,3.1,2.8
Stella,24.0,552.0,3.9,3.5
Steve McQueen: The Man & Le Mans,8.0,25.0,3.6,3.6
Stuart Little 2,15.0,1429.0,3.5,1.8
Sunshine Cleaning,20.0,1434.0,3.5,3.3
Suntan,8.0,66.0,3.6,3.3
The Housemaid,22.0,598.0,3.0,3.3
The Proposition,15.0,627.0,3.9,3.7
The Watcher,15.0,487.0,2.5,1.9
This Must Be the Place,21.0,1391.0,3.2,3.4
Tournée,24.0,2169.0,4.4,3.0
Un 32 août sur Terre,8.0,40.0,3.4,3.0
Un enfant pas comme les autres,8.0,296.0,2.6,3.1
Une histoire banale,11.0,235.0,3.7,3.8
Une liaison pornographique,8.0,107.0,3.3,3.1
Une nuit,18.0,1564.0,3.8,3.3
Une Vie avec Oradour,10.0,20.0,3.4,3.6
Vaillant- pigeon de combat !,18.0,2747.0,3.4,2.2
Vers le sud,27.0,195.0,3.5,2.9
Voir la mer,18.0,403.0,3.1,2.0
Wanted,13.0,688.0,2.6,1.9
Welcome to the Rileys,20.0,1161.0,2.9,3.9
Yogananda,3.0,40.0,1.7,3.6
Zig-Zag,12.0,215.0,2.3,2.7
Zouzou,11.0,79.0,2.3,2.7
10e chambre  Instants d'audience,13.0,596.0,4.5,3.5
11 minutes,17.0,79.0,3.2,3.5
30 Minutes Maximum,7.0,990.0,2.3,2.4
30° Couleur,11.0,710.0,2.8,2.7
Abus de faiblesse,22.0,277.0,3.1,2.3
Afrik'Aïoli,10.0,369.0,2.9,3.9
Alice- ou les désirs,2.0,17.0,2.0,2.8
American boys,6.0,91.0,2.7,2.9
American party - Van Wilder relations publiques,7.0,1048.0,2.1,2.6
Amour- piments et bossa nova,13.0,100.0,2.8,2.4
Antitrust,10.0,1253.0,3.0,2.5
Arrête ou je continue,20.0,441.0,3.3,2.4
Assaut sur le central 13,22.0,3592.0,3.4,2.8
Attila Marcel,14.0,511.0,3.4,3.5
Au plus près du soleil,15.0,148.0,3.0,2.5
Aurore,20.0,127.0,2.4,2.2
Austin Powers - l'espion qui m'a tirée,17.0,5860.0,3.2,2.6
Barbershop,3.0,163.0,2.3,3.5
Blind : Un rêve éveillé,20.0,76.0,2.3,3.1
Ça commence aujourd'hui,13.0,217.0,4.1,3.7
Cassos,6.0,184.0,2.7,2.7
Che - 1ère partie : L'Argentin,25.0,2267.0,3.3,2.9
Christina Noble,13.0,287.0,2.8,4.1
Coeurs perdus,22.0,794.0,2.8,2.7
College Rock Stars,5.0,606.0,3.4,3.2
Coluche- l'histoire d'un mec,28.0,2238.0,3.0,2.4
Coming Home,18.0,229.0,3.2,3.9
Cul-de-sac,2.0,336.0,4.0,3.5
Difret,12.0,261.0,3.5,4.0
Dirty pretty things- loin de chez eux,10.0,621.0,3.8,3.0
Du goudron et des plumes,22.0,310.0,3.1,2.6
Ella au pays enchanté,3.0,663.0,3.3,3.0
Eshtebak,19.0,84.0,3.3,3.6
Espace détente,10.0,4722.0,2.9,1.7
Et... ta mère aussi !,14.0,480.0,3.2,3.3
Final cut,22.0,2103.0,3.0,2.7
Firewall,16.0,1410.0,1.8,2.0
Frères de sang,16.0,1302.0,3.3,3.8
Fur : un portrait imaginaire de Diane Arbus,24.0,502.0,2.5,2.9
Gambit- arnaque à langlaise,13.0,809.0,2.5,2.2
Geronimo,18.0,296.0,3.1,3.1
Hit and run,12.0,1024.0,1.8,2.5
Hormona,8.0,10.0,3.9,3.3
Hors d'atteinte,6.0,1962.0,4.0,2.9
Il était un père,8.0,114.0,5.0,4.0
Illégitime,14.0,70.0,3.6,3.5
Jugez-moi coupable,18.0,1142.0,3.3,2.7
L'Anniversaire,17.0,330.0,2.2,1.7
L'Homme aux colts d'or,2.0,202.0,5.0,4.0
L'Homme qui en savait trop,1.0,476.0,5.0,3.4
La Ballade de l'Impossible - Norwegian Wood,23.0,439.0,3.3,2.9
La Chambre des Officiers,18.0,1229.0,3.7,3.3
La Chambre interdite,14.0,30.0,3.3,3.2
La Désintégration,24.0,469.0,3.5,3.1
La Fée,18.0,479.0,3.6,2.9
La Folle escapade,3.0,49.0,4.3,3.8
La Marcheuse,14.0,94.0,3.0,3.3
La Rumeur court...,21.0,1011.0,2.4,2.0
La Sociologue et l'ourson,21.0,146.0,3.8,4.2
La Vie passionnée de Vincent Van Gogh,2.0,218.0,5.0,4.0
La Visite de la fanfare,23.0,1208.0,3.9,3.6
La Volante,18.0,446.0,2.0,2.8
Le Beau Monde,21.0,469.0,3.3,3.2
Le bruit des gens autour,20.0,143.0,3.0,2.8
Le Dernier Diamant,14.0,812.0,3.1,3.0
Le Deshonneur d'Elisabeth Campbell,12.0,809.0,2.7,2.7
Le Deuxième souffle,24.0,803.0,2.7,2.3
Le Fils,23.0,378.0,4.5,3.2
Le Grand Chantage,1.0,82.0,5.0,3.7
Le Grand Meaulnes,12.0,1035.0,2.4,1.9
Le Merveilleux magasin de Mr Magorium,3.0,1362.0,3.0,2.6
Le Parfum de la dame en noir,25.0,1067.0,3.5,2.2
Le Père de mes enfants,19.0,365.0,3.9,2.8
Le Village des ombres,12.0,376.0,1.7,2.0
Les Animaux amoureux,13.0,161.0,2.7,2.9
Les Brigades du Tigre,27.0,3164.0,3.3,2.4
Les Fantômes de Goya,16.0,614.0,2.9,2.6
Les Hommes préfèrent les blondes,2.0,1270.0,5.0,3.7
Les Plus belles années de notre vie,1.0,111.0,5.0,4.0
Les Révoltés,10.0,55.0,2.8,2.8
Les Visiteurs du soir,1.0,388.0,2.0,3.5
Little New York,15.0,624.0,2.7,2.5
Lore,14.0,265.0,2.9,3.9
Ma femme est une actrice,19.0,1173.0,3.8,2.6
Ma femme... s'appelle Maurice,10.0,1780.0,2.2,1.5
Ma sorcière bien-aimée,22.0,3312.0,2.9,1.3
Mademoiselle Chambon,25.0,1027.0,3.7,3.0
Mary Reine d'Ecosse,9.0,37.0,3.1,2.9
Mauvaise foi,26.0,1907.0,3.5,2.6
Meilleur Espoir Feminin,20.0,2293.0,3.7,2.6
Melody,16.0,116.0,3.4,3.7
Men & Chicken,17.0,193.0,3.5,3.5
Mes voisins les Yamada,16.0,594.0,4.2,3.6
Michael Clayton,23.0,2961.0,3.3,2.3
Miss Potter,16.0,736.0,2.4,2.8
Mon voisin le tueur,11.0,8709.0,2.7,2.8
Mr Gaga- sur les pas dOhad Naharin,14.0,180.0,3.9,4.1
Mr. Nice,24.0,457.0,3.0,2.8
Mutants,15.0,719.0,2.7,2.1
My Name is Hallam Foe,20.0,689.0,3.5,3.3
Nicostratos le pélican,9.0,322.0,3.0,3.5
Nous nous sommes tant aimés !,1.0,435.0,5.0,3.8
Orage,14.0,131.0,2.7,2.3
Pardonnez-moi,23.0,812.0,3.7,3.0
Paris est une fête - un film en 18 vagues,9.0,5.0,2.9,3.0
Pas un mot,14.0,778.0,2.1,2.6
Passé virtuel,5.0,827.0,2.8,3.3
Persécution,25.0,649.0,3.0,1.8
Piccolo- Saxo et Cie,17.0,87.0,2.4,2.5
Pinocchio,17.0,174.0,2.1,2.5
Poupoupidou,21.0,1416.0,3.4,3.5
Qui a envie d'être aimé ?,13.0,443.0,2.8,3.3
R.I.F. (Recherches dans l'Intérêt des Familles),16.0,789.0,2.2,2.6
Rapt,23.0,1438.0,3.7,3.1
Rebelles,10.0,347.0,2.8,3.5
Rêves d'or,17.0,506.0,4.0,4.1
Ricki and the Flash,13.0,640.0,3.2,3.1
Rivière sans retour,1.0,688.0,5.0,3.5
Rollerball,14.0,1259.0,2.7,1.4
Rosario,12.0,365.0,3.0,2.6
Rush Hour 2,15.0,5788.0,3.2,2.8
Saint Ange,15.0,1280.0,3.0,1.6
Shérif fais-moi peur- le film,16.0,1985.0,2.3,2.0
Sport de filles,25.0,276.0,3.3,2.5
Sugarland express,3.0,774.0,4.7,3.3
Summertime,18.0,376.0,3.6,4.1
Super Trash,7.0,122.0,2.3,2.8
Survivre avec les loups,15.0,808.0,2.9,2.9
Suspicion,15.0,372.0,2.8,2.6
Taj Mahal,18.0,363.0,3.2,2.3
The Broken,12.0,349.0,2.3,1.9
The Dark,4.0,204.0,2.0,2.3
The Face of Love,15.0,208.0,2.7,3.2
The Waterboy,6.0,469.0,2.7,2.5
Theeb - la naissance d'un chef,20.0,80.0,3.8,3.9
Thelma- Louise et Chantal,15.0,502.0,2.5,2.5
Tolstoï- le dernier automne,18.0,190.0,3.1,3.5
Tootsie,5.0,3052.0,4.2,3.6
Trader,14.0,467.0,2.8,3.0
Treize jours,13.0,561.0,3.5,3.0
Trishna,20.0,254.0,2.4,3.1
Un Automne à New York,16.0,550.0,2.3,2.3
Une arnaque presque parfaite,6.0,859.0,3.5,2.7
Uno,21.0,40.0,3.5,3.4
Utopía,11.0,20.0,2.7,2.3
Veronica Guerin,9.0,426.0,3.2,3.0
Yo- También,14.0,237.0,3.1,3.9
11'09''01 - September 11,20.0,128.0,3.5,3.4
2 temps- 3 mouvements,8.0,16.0,2.4,2.9
A bout portant,4.0,142.0,4.5,3.6
Accident,17.0,286.0,3.6,2.7
Aimer- boire et chanter,26.0,651.0,3.7,2.1
Alata,11.0,209.0,2.8,4.2
Amer beton,18.0,755.0,4.1,3.8
Amore,18.0,493.0,3.4,3.1
Amour Fou,16.0,72.0,3.8,3.0
Assurance sur la mort,5.0,806.0,4.6,4.2
Au bord du monde,17.0,216.0,4.1,3.8
Avant l'hiver,14.0,681.0,3.2,2.4
Babe- le cochon dans la ville,13.0,1731.0,3.7,2.0
Balada Triste,24.0,898.0,3.2,3.3
Belle comme la femme d'un autre,7.0,434.0,1.9,2.0
Bon Voyage,17.0,1238.0,3.7,2.7
Bowling,11.0,1410.0,2.3,2.8
Bye Bye Love,10.0,743.0,3.4,2.8
C'est La Vie,17.0,77.0,3.3,3.5
Captive,26.0,202.0,3.1,2.7
Captivity,12.0,1100.0,1.5,1.7
Carrie 2 : la haine,7.0,546.0,2.3,1.9
Chante ton Bac d'abord,20.0,215.0,3.8,3.8
Chico & Rita,20.0,558.0,4.2,3.7
Comme des lions,11.0,56.0,3.5,4.1
D'une pierre deux coups,10.0,121.0,3.8,3.7
Dark Blue,11.0,752.0,3.6,2.8
Déesses indiennes en colère,15.0,166.0,2.9,4.0
Des Morceaux de Moi,9.0,154.0,2.3,2.8
Deux en un,16.0,1614.0,4.1,2.4
Diablesse,1.0,158.0,2.0,2.5
Divorces,18.0,537.0,2.2,1.9
Dolls,15.0,964.0,3.7,3.5
Droit de passage,12.0,713.0,2.1,3.2
Exilé,20.0,688.0,4.3,3.6
Extension du domaine de la lutte,14.0,105.0,3.4,3.5
Fantasia 2000,12.0,1043.0,3.2,3.3
Frank,21.0,384.0,2.7,3.4
Friends With Kids,12.0,710.0,2.2,2.5
Fukushima mon amour,13.0,66.0,2.9,3.6
Fulltime Killer,18.0,560.0,3.4,3.2
Garçon stupide,18.0,88.0,3.2,3.0
Gerry,21.0,1595.0,4.3,3.2
Grizzly,14.0,549.0,3.1,4.1
Hanté par ses ex,11.0,1515.0,2.0,2.3
Harakiri,5.0,318.0,4.6,4.2
Hardball,11.0,265.0,2.4,3.3
High Art,12.0,96.0,3.7,3.6
Hollywood sunrise,8.0,111.0,2.9,2.4
Holy Lola,22.0,772.0,3.9,2.9
Homeland : Irak année zéro - partie 1 / Avant la chute,15.0,134.0,4.5,4.2
Il était une forêt,16.0,663.0,3.4,3.7
Imagine,12.0,110.0,3.3,4.1
Intrusion,7.0,641.0,2.3,2.0
J'ai toujours rêvé d'être un gangster,26.0,2249.0,3.0,3.5
Jack,17.0,164.0,3.6,3.9
Je déteste les enfants des autres !,16.0,702.0,2.1,1.4
Je m'appelle Bernadette,9.0,71.0,2.0,3.6
Je ne suis pas là pour être aimé,22.0,840.0,4.3,3.2
John McCabe,3.0,127.0,4.7,3.7
Judge Dredd,5.0,4053.0,1.6,2.3
Kung Fu Nanny,7.0,479.0,2.0,2.3
L'Amour a ses raisons,14.0,179.0,1.4,2.6
L'Année prochaine,13.0,122.0,3.1,2.9
L'Emploi du temps,20.0,399.0,4.6,3.3
L'heure zéro,19.0,964.0,3.4,2.2
L'important c'est d'aimer,3.0,276.0,4.7,3.5
La Bande à Baader,21.0,683.0,3.1,3.3
La Cicatrice intérieure,2.0,36.0,4.5,3.3
La Disparue de Deauville,14.0,522.0,2.0,1.6
La Grande course au fromage,8.0,20.0,3.4,3.5
La Jalousie,20.0,327.0,3.8,2.6
La Maison sur l'océan,13.0,838.0,2.5,3.4
La Meute,17.0,688.0,2.1,1.4
La Mort en direct,2.0,177.0,4.5,3.4
La Peau de Bax,16.0,215.0,3.5,2.9
La Sainte Victoire,15.0,400.0,3.1,3.3
La Ville fantôme,11.0,367.0,2.9,2.4
Le Barbier de Siberie,14.0,547.0,3.7,3.5
Le Beau-père - The Stepfather,6.0,782.0,1.5,2.6
Le Caïman,24.0,700.0,4.3,2.5
Le Cancre,15.0,24.0,3.3,2.5
Le Cheval de Turin,23.0,240.0,3.8,3.6
Le Chevalier black,7.0,478.0,2.1,1.8
Le Coach,17.0,1743.0,2.8,3.1
Le Kid,4.0,6435.0,4.0,4.3
Le pacte du silence,13.0,42.0,2.5,2.6
Le Pensionnat,16.0,258.0,3.1,2.9
Le plus beau jour de ma vie,13.0,148.0,3.2,2.5
Le roi de l'évasion,14.0,321.0,3.9,2.5
Le Temps des aveux,15.0,429.0,3.2,3.3
Le Vilain petit canard,10.0,56.0,3.6,3.4
Les Aventures de Shark Boy et Lava Girl,8.0,187.0,2.4,2.4
Les Crimes de Snowtown,15.0,327.0,3.7,3.2
Les Dents de la nuit,15.0,1363.0,2.7,2.1
Les Enfants de la pluie,11.0,394.0,3.0,3.4
Les Pieds sur terre,6.0,24.0,3.3,3.9
Les Regrets,23.0,472.0,3.2,2.3
Les Seigneurs de la guerre,16.0,727.0,3.6,3.2
Les Voyeurs,5.0,5.0,4.0,3.2
Les Yeux de sa mère,20.0,757.0,3.0,3.2
Ludwig - Le crépuscule des Dieux,1.0,348.0,5.0,3.9
Lust- Caution,23.0,895.0,3.4,3.5
Ma vie n'est pas une comédie romantique,21.0,610.0,2.5,2.3
Mate-me Por Favor,15.0,38.0,3.4,3.3
Merci pour le chocolat,27.0,510.0,4.1,2.7
Mesures exceptionnelles,10.0,423.0,2.4,2.8
Millions,18.0,423.0,2.6,2.7
Mon âme par toi guérie,19.0,593.0,3.5,3.5
Mon nom est Tsotsi,18.0,1840.0,3.2,3.5
Mystères de Lisbonne,22.0,337.0,4.5,3.7
Ombline,13.0,847.0,3.4,4.0
One Direction Le Film,6.0,1361.0,1.7,3.6
Pain noir,16.0,137.0,3.3,3.2
Papa Was Not a Rolling Stone,16.0,553.0,2.9,3.0
Partisan,11.0,178.0,2.7,2.9
Pas si simple,12.0,1650.0,2.8,3.0
Pina,26.0,962.0,4.0,3.9
Planète 51,17.0,2450.0,3.2,2.9
Pleasantville,15.0,1891.0,3.2,3.4
Quand je ne dors pas,10.0,43.0,3.2,3.8
Quand la mer monte,14.0,888.0,4.2,2.8
Quartier lointain,18.0,252.0,2.5,3.2
Quatre étoiles,26.0,2585.0,3.3,2.3
Queen,7.0,33.0,2.6,3.6
Replicant,15.0,514.0,3.3,2.1
Senna,10.0,503.0,3.2,4.1
Shall we dance ? La Nouvelle vie de Monsieur Clark,14.0,1433.0,2.2,2.4
Shanghaï kid,12.0,1796.0,3.2,2.5
Sissi,1.0,736.0,1.0,3.3
Soeur Sourire,21.0,529.0,2.8,3.0
Solange et les vivants,6.0,64.0,2.2,3.7
Song for Marion,17.0,700.0,2.6,4.0
Still Walking,22.0,649.0,4.5,3.9
Syngué Sabour - Pierre de patience,17.0,921.0,3.6,4.2
Tant qu'il y aura des hommes,4.0,452.0,3.3,3.6
Tarzan- l'homme singe,1.0,199.0,4.0,3.7
Terre promise,25.0,68.0,3.7,2.6
The Good Heart,20.0,211.0,3.1,3.6
The Last of England,4.0,9.0,3.3,3.3
Torque- la route s'enflamme,6.0,1323.0,2.5,1.4
Trahison,7.0,614.0,3.0,2.9
Travail d'arabe,10.0,171.0,3.4,3.5
Tu marcheras sur l'eau,19.0,683.0,3.5,3.3
Un mari de trop,17.0,895.0,2.3,2.3
Un P'tit gars de Ménilmontant,6.0,173.0,1.3,2.7
Une hirondelle a fait le printemps,19.0,1110.0,3.3,2.4
United States of Love,16.0,36.0,2.6,2.6
Vengeance,15.0,1003.0,3.8,2.1
Whatever Lola Wants,19.0,570.0,2.7,3.4
Zelig,2.0,621.0,5.0,3.6
Zoologie,17.0,16.0,3.5,3.1
3 Amis,11.0,1124.0,2.6,2.2
A moi seule,19.0,267.0,3.1,3.1
A propos d'Elly,22.0,703.0,3.9,3.9
Adam,6.0,434.0,2.5,3.6
Albert est méchant,3.0,645.0,2.3,1.9
Amours troubles,9.0,261.0,2.2,1.7
Anina,10.0,43.0,3.6,3.5
Anything else- la vie et tout le reste,18.0,1181.0,3.6,3.0
Appurushîdo,17.0,965.0,3.0,3.1
Après la pluie,10.0,283.0,3.4,3.6
Ararat,16.0,35.0,3.1,3.1
Arthur Newman,10.0,358.0,2.3,2.8
Au cul du loup,3.0,80.0,2.0,2.9
Au suivant !,17.0,574.0,2.6,1.6
Austin Powers dans Goldmember,23.0,5163.0,3.6,2.5
Barberousse,1.0,356.0,5.0,4.0
Before I Disappear,4.0,30.0,2.5,3.7
Belphégor- le fantôme du Louvre,23.0,3048.0,2.6,1.4
Beur blanc rouge,21.0,163.0,2.7,2.1
Bienvenue en Suisse,16.0,299.0,2.9,1.9
Bienvenue Mister Chance,4.0,302.0,4.0,3.6
Big Bad Wolves,18.0,530.0,2.4,3.2
Blair Witch 2 : le livre des ombres,12.0,1871.0,2.8,1.2
Bleeder,20.0,301.0,3.5,3.8
Boarding Gate,14.0,436.0,3.2,1.9
Boogeyman - La porte des cauchemars,12.0,534.0,2.1,1.6
Boudu sauvé des eaux,2.0,359.0,5.0,3.3
Breakfast on Pluto,23.0,304.0,3.4,3.1
Bus Palladium,20.0,811.0,3.0,2.8
Camping sauvage,24.0,73.0,2.3,2.9
Capitaine Alatriste,14.0,557.0,2.7,2.5
Carandiru,10.0,111.0,3.0,3.8
Casanova,2.0,347.0,4.5,3.6
Casshern,15.0,665.0,2.7,2.0
Certifiée Halal,11.0,70.0,2.0,2.3
Ces amours-là,18.0,741.0,2.9,3.4
Chopper,18.0,230.0,2.8,3.1
Comme chiens et chats - La Revanche de Kitty Galore,3.0,494.0,2.3,2.6
Complices,20.0,854.0,3.4,3.5
Confession d'un dragueur,13.0,174.0,2.2,2.7
Confession d'un enfant du siècle,18.0,274.0,1.8,2.3
Copacabana,21.0,996.0,4.0,3.5
Cyrus,18.0,420.0,3.1,2.2
D'amour et d'eau fraîche,16.0,463.0,3.3,2.9
D'Artagnan,14.0,606.0,2.5,1.7
D'une vie à l'autre,17.0,550.0,3.1,3.8
Dans tes rêves,14.0,234.0,3.3,2.4
Divin enfant,2.0,286.0,1.0,1.8
Dommage collatéral,15.0,1566.0,2.1,1.8
Donjons & dragons,5.0,2094.0,2.4,1.3
Driven,11.0,1220.0,2.5,1.7
Drôles D'oiseaux,8.0,387.0,2.9,3.3
Enfin veuve,16.0,2522.0,1.9,2.5
Entre les jambes,11.0,120.0,3.0,2.8
Envoyés très spéciaux,17.0,1671.0,3.0,2.4
Fièvres,6.0,131.0,2.8,4.2
Filles Uniques,15.0,206.0,3.5,3.2
Frankie Wilde,13.0,116.0,2.6,3.7
Gangsters,9.0,416.0,2.9,3.1
Gaz de France,17.0,121.0,2.9,2.5
Gorge Coeur Ventre,13.0,31.0,3.4,3.6
Gouttes d'eau sur pierres brûlantes,17.0,344.0,3.6,3.1
Greenberg,22.0,962.0,3.6,2.0
Harold et Kumar s'évadent de Guantanamo,6.0,1095.0,2.3,3.1
Hors Satan,26.0,288.0,3.4,2.5
Hôtesse à tout prix,6.0,348.0,2.2,1.9
Humains,12.0,650.0,1.3,1.3
I Love You- Man,8.0,912.0,2.4,2.7
If....,2.0,377.0,5.0,3.8
Il était une fois en Anatolie,24.0,464.0,3.7,3.3
Imogène McCarthery,10.0,1244.0,2.6,2.3
In America,18.0,608.0,3.7,3.4
In Jackson Heights,13.0,61.0,4.2,3.8
In the Bedroom,20.0,79.0,3.5,3.5
Insoupçonnable,16.0,507.0,2.3,1.8
Itinéraire bis,1.0,1182.0,2.0,2.2
J'me sens pas belle,15.0,1505.0,3.8,2.7
Janis,16.0,210.0,3.3,3.9
Jason X,14.0,1092.0,3.1,1.6
Je préfère qu'on reste amis...,19.0,1148.0,3.3,2.4
Je suis un cyborg,22.0,773.0,3.0,3.2
Kumbh Mela- Sur Les Rives Du Fleuve Sacré,15.0,133.0,3.7,3.9
L'Affranchie,12.0,14.0,3.5,3.3
